"comprehensive","[ˌkɒmprɪˈhensɪv] [ˌkɑːmprɪˈhensɪv]#;#adj,idiom_adj","bao hàm toàn diện",""
"portal","[ˈpɔːtl] [ˈpɔːrtl]#;#n","cửa, cổng (nhất là cổng chính, cổng đồ sộ, đường bệ của đền đài, lăng tẩm..)",""
"through","[θruː]#;#p,adv,idiom_adv","qua, xuyên qua, suốt",""
"applicant","[ˈæplɪkənt]#;#n","người nộp đơn xin (đặc biệt là việc làm)",""
"reputation","[ˌrepjuˈteɪʃn]#;#n","danh tiếng; sự nổi danh",""
"due to","","bởi, vì, do, tại, nhờ có",""
"conference","[ˈkɒnfərəns] [ˈkɑːnfərəns]#;#n","hội nghị; cuộc thảo luận hoặc trao đổi quan điểm",""
"launch","[lɔːntʃ]#;#v,n,v1,idiom_v1","ném, phóng, quăng, liệng (tên lửa; lời đe doạ...); mở (cuộc tấn công); phát động (phong ...",""
"responsible","[rɪˈspɒnsəbl] [rɪˈspɑːnsəbl]#;#adj,idiom_adj","( responsible for somebody  / something ) có nghĩa vụ về mặt pháp lý hoặc đạo đức; chịu ...",""
"ensure","[ɪnˈʃʊə(r)] [ɪnˈʃʊr]#;#v","bảo đảm",""
"policy","[ˈpɒləsi] [ˈpɑːləsi]#;#n","chính sách (của chính phủ, đảng...)",""
"take effect","#;#phrase","có hiệu lực",""
"concrete","[ˈkɒŋkriːt] [ˈkɑːnkriːt]#;#n,adj,v","bê-tông",""
"boutique","[buːˈtiːk]#;#n","cửa hàng nhỏ bán quần áo và các mặt hàng mới ra",""
"purchase","[ˈpɜːtʃəs] [ˈpɜːrtʃəs]#;#v,n","mua, sắm, tậu",""
"involve","[ɪnˈvɒlv] [ɪnˈvɑːlv]#;#v","đòi hỏi phải, cần phải, kéo theo",""
"engage","[ɪnˈɡeɪdʒ]#;#v","( to engage somebody in something ) (làm cho một người) tham gia vào một việc gì","Tham gia (engage in)"
"determine","[dɪˈtɜːmɪn] [dɪˈtɜːrmɪn]#;#v,v1","định, xác định, định rõ",""
"cancel","['kænsəl] [ˈkænsl]#;#v,n","bỏ, xoá bỏ, huỷ bỏ, bãi bỏ (lệnh, khế ước, hợp đồng...)",""
"assurance","[əˈʃʊərəns] [əˈʃʊrəns]#;#n,idiom_n","sự chắc chắn; sự tin chắc; điều chắc chắn, điều tin chắc",""
"agreement","[əˈɡriːmənt]#;#n,idiom_n","sự thoả thuận, hứa hẹn hoặc giao kèo với ai; hợp đồng",""
"abide by",".#;#v","tôn trọng, tuân theo, giữ (lời)",""
"conform","[kənˈfɔːm] [kənˈfɔːrm]#;#v,v1","( + to ) làm cho hợp với, làm cho phù hợp với, làm cho thích hợp với",""
"comply","[kəmˈplaɪ]#;#v","tuân theo, chiếu theo, đồng ý làm theo",""
"abide","[əˈbaɪd]#;#v,v1","vẫn còn, tiếp tục, ở lại, kéo dài",""
"emerge","[ɪˈmɜːdʒ] [ɪˈmɜːrdʒ]#;#v","nổi lên, hiện ra, lòi ra",""
"compliance","[kəmˈplaɪəns]#;#n","sự bằng lòng, sự ưng thuận, sự chìu theo, sự làm đúng theo (một yêu cầu, một lệnh...)",""
"portability","[ˌpɔːtəˈbɪləti] [ˌpɔːrtəˈbɪləti]#;#n","tính di chuyển được, tính dễ xách theo",""
"associated","[əˈsəʊsieɪtɪd]#;#adj","có liên quan",""
"concise","[kənˈsaɪs]#;#adj","ngắn gọn, súc tích (văn)",""
"resilient","[rɪˈzɪliənt]#;#adj","kiên cường; mau phục hồi (về thể chất hoặc tinh thần)",""
"robust","[rəʊˈbʌst]#;#adj","tráng kiện, cường tráng; có sức khoẻ",""
"brief","[briːf]#;#adj,n,idiom_n,v","ngắn, vắn tắt, gọn","bản tóm tắt, bản toát yếu"
"obtain","[əbˈteɪn]#;#v,v1","đạt được, giành được, thu được",""
"innovate","[ˈɪnəveɪt]#;#v","đổi mới, cách tân",""
"expedient","[ɪkˈspiːdiənt]#;#adj,n","thích hợp; có lợi, thiết thực",""
"promotion","[prəˈməʊʃn]#;#n","sự thăng tiến; sự thăng chức; trường hợp thăng chức",""
"postpone","[pəˈspəʊn][pəʊˈspəʊn]#.__gb_1_0;.__us_1_0#v","hoãn lại, trì hoãn",""
"reliable","[rɪˈlaɪəbl]#.__gb_2_0;.__us_3_0#adj","chắc chắn, đáng tin cậy; xác thực (tin tức...)",""
"reliability","[rɪˌlaɪəˈbɪləti]#.__gb_1_0;.__us_1_0#n","sự đáng tin cậy; tính đáng tin cậy",""
"feedback","[ˈfiːdbæk]#.__gb_2_0;.__us_2_0#n","thông tin phản hồi; ý kiến phản hồi",""
"assign","[əˈsaɪn]#.__gb_2_0;.__us_1_0#v","cho ai cái gì như là một phần của công việc phải làm hoặc của những vật được sử dụng; p ...",""
"innovative","[ˈɪnəveɪtɪv]#.__gb_2_0;.__us_1_0#other","@innovatory",""
"innovatory","[ˈɪnəvətri][ˈɪnəvətɔri]#.;.#adj","có tính chất đổi mới; có tính chất sáng kiến",""
"term","[tɜːm][tɜːrm]#.__gb_3_0;.__us_1_0#n,v","(ngôn ngữ học) từ, thuật ngữ",""
"enhancement","[ɪnˈhɑːnsmənt][ɪnˈhænsmənt]#.__gb_1_0;.__us_1_0#n","sự làm tăng, sự nâng cao, sự đề cao, sự làm nổi bật",""
"observant","[əbˈzɜːvənt]","hay quan sát, tinh mắt, tinh ý",""
"straightforward","[ˌstreɪtˈfɔːwəd]","trung thực, thẳng thắn, cởi mở, minh bạch; không thoái thác (về người, cung cách của ng ...",""
"parasite","[ˈpærəsaɪt]","kẻ ăn bám",""
"paradise","[ˈpærədaɪs]","( Paradise ) thiên đường, nơi cực lạc (trong (kinh thánh))",""
"collaborate","[kəˈlæbəreɪt]","cộng tác",""
"co operation","","sự hợp tác, sự cộng tác, sự chung sức",""
"inspiration","[ˌɪnspəˈreɪʃn]","nguồn cảm hứng; ( inspiration to do something ) sự kích thích trí tuệ, cảm xúc... để là ...",""
"frustrated","[frʌˈstreɪtɪd]","nản lòng, nản chí",""
"frustrate","[frʌˈstreɪt]","làm thất bại, làm hỏng",""
"embark","[ɪmˈbɑːk]","cho lên tàu (lính, hàng...)",""
"persuade","[pəˈsweɪd]","thuyết phục",""
"demonstrability","[dɪˌmɒn.strəˈbɪl.ə.ti]","tính có thể chứng minh được, tính có thể giải thích được",""
"demonstrate","[ˈdemənstreɪt]","( to demonstrate something to somebody ) chứng minh, giải thích",""
"elegant","[ˈelɪɡənt]","thanh lịch, tao nhã",""
"fabulous","[ˈfæbjələs]","thần thoại, (thuộc) truyện cổ tích; bịa đặt, hoang đường",""
"certain","['sə:tn]","chắc, chắc chắn",""
"concern","[kənˈsɜːn]","mối quan tâm",""
"paramount","[ˈpærəmaʊnt]","tối cao (có tầm quan trọng, ý nghĩa lớn nhất)",""
"abuse","[əˈbjuːs]","sự sử dụng hoặc đối xử sai/tồi tệ; sự lạm dụng",""
"concept","[ˈkɒnsept]","khái niệm; tư tưởng làm cơ sở cho cái gì; ý niệm chung",""
"distribute","[dɪˈstrɪbjuːt]","phân bổ, phân phối, phân phát",""
"along","[əˈlɒŋ]","từ một đầu đến (hay hướng tới) đầu kia của (cái gì); dọc theo",""
"may","[meɪ]","(chỉ khả năng) có thể",""
"come across","","(tình cờ) gặp",""
"prepare","[prɪˈpeə(r)]","( to prepare somebody  / something for somebody  / something ) chuẩn bị",""
"spoon","[spuːn]","cái thìa",""
"formal","[ˈfɔːml]","chính thức","Chính thức"
"colleague","[ˈkɒliːɡ]","bạn đồng nghiệp, bạn đồng sự",""
"insight","[ˈɪnsaɪt]","sự nhìn thấu được bên trong sự vật, sự hiểu thấu được bên trong sự vật; sự hiểu biết sâ ...",""
"enhance","[ɪnˈhɑːns]","làm tăng, nâng cao, đề cao, làm nổi bật (đức tính, quyền hạn...)",""
"engaging","[ɪnˈɡeɪdʒɪŋ]","lôi kéo, hấp dẫn; duyên dáng (nụ cười, giọng nói, cái nhìn...)",""
"entire","[ɪnˈtaɪə(r)]","toàn bộ, toàn thể, toàn vẹn, hoàn toàn",""
"incredibly","[ɪnˈkredəbli]","khó tin nổi, đáng kinh ngạc, đến nỗi không ngờ",""
"crucial","[ˈkruːʃl]","quyết định; cốt yếu, chủ yếu",""
"versatile","[ˈvɜːsətaɪl]","nhiều tác dụng; đa năng (dụng cụ, máy..)",""
"attribute","[əˈtrɪbjuːt]","thuộc tính",""
"deprecate","[ˈdeprəkeɪt]","phản đối, phản kháng, không tán thành","Không dùng nữa
"
"piece","[piːs]","(thương nghiệp) đơn vị, cái, chiếc, tấm (vải); thùng (rượu...)","Từ này linh hoạt đôi khi là đơn vị đôi khi là sự vật

mảnh, mẩu, miếng, viên, cục, khúc...
bức (tranh); bài (thơ); bản (nhạc); vở (kịch)-> tác phẩm
"
"convey","[kənˈveɪ]","truyền (âm thanh, hương vị, lệnh, tin); truyền đạt, chuyển",""
"dense","[dens]","dày đặc; (nói về người và vật) không dễ nhìn qua được",""
"flirt","[flɜːt]","tán tỉnh, ve vãn; vờ tán tỉnh, vờ ve vãn",""
"composition","[ˌkɒmpəˈzɪʃn]","thành phần cấu tạo; kết cấu",""
